A040000 | 104 | A071383 | 1 | 26 | PM | 0.0740740740740741
A040000 | 104 | A000110 | 1 | 26 | 0T | 0.0740740740740741
A040000 | 104 | A001075 | 1 | 26 | 0T | 0.0740740740740741
A040000 | 104 | A001297 | 1 | 30 | PM | 0.0645161290322581
A040000 | 104 | A007745 | 1 | 49 | 0T | 0.04
A040000 | 104 | A212393 | 1 | 38 | 0T | 0.0512820512820513
A040000 | 104 | A096060 | 1 | 17 | 0T | 0.111111111111111
A040000 | 104 | A098746 | 1 | 25 | 0T | 0.0769230769230769
A040000 | 104 | A000055 | 1 | 36 | 0T | 0.0540540540540541
A040000 | 104 | A202110 | 1 | 62 | PM | 0.0317460317460317
A040000 | 104 | A056525 | 1 | 55 | 0T | 0.0357142857142857
A040000 | 104 | A173290 | 1 | 51 | 0T | 0.0384615384615385
A040000 | 104 | A024283 | 1 | 15 | PM | 0.125
A040000 | 104 | A145920 | 1 | 37 | PM | 0.0526315789473684
A040000 | 104 | A173226 | 1 | 14 | 0T | 0.133333333333333
A040000 | 104 | A173125 | 1 | 34 | 0T | 0.0571428571428571
A040000 | 104 | A002439 | 1 | 11 | 0T | 0.166666666666667
A040000 | 104 | A142239 | 1 | 27 | 0T | 0.0714285714285714
A040000 | 104 | A060719 | 1 | 22 | 0T | 0.0869565217391304
A040000 | 104 | A115384 | 1 | 75 | PM | 0.0263157894736842
A040000 | 104 | A026430 | 1 | 62 | PM | 0.0317460317460317
A040000 | 104 | A060150 | 1 | 19 | 0T | 0.1
A040000 | 104 | A129871 | 1 | 9 | 0T | 0.2
A040000 | 104 | A097476 | 1 | 6 | 0T | 0.285714285714286
A040000 | 104 | A091406 | 1 | 10 | 0T | 0.181818181818182
A040000 | 104 | A003517 | 1 | 23 | 0T | 0.0833333333333333
A040000 | 104 | A140325 | 1 | 21 | 0T | 0.0909090909090909
A040000 | 104 | A061547 | 1 | 31 | PM | 0.0625
A040000 | 104 | A000698 | 1 | 19 | 0T | 0.1
A040000 | 104 | A130253 | 1 | 99 | 0T | 0.02
A040000 | 104 | A001653 | 1 | 22 | 0T | 0.0869565217391304
A040000 | 104 | A005156 | 1 | 14 | 0T | 0.133333333333333
A040000 | 104 | A070089 | 1 | 61 | 0T | 0.032258064516129
A040000 | 104 | A016754 | 1 | 43 | 0T | 0.0454545454545455
